29585	29585
59163	59163
88748	88748
118333	118333
147918	147918
177503	177503
207081	207081
236666	236666
266244	266244
295829	295829
325407	325407
354992	354992
384570	384570
414148	414148
443733	443733
473318	473318
502896	502896
532481	532481
562066	562066
591651	591651
621229	621229
650807	650807
29585	29585
59163	59163
88748	88748
118333	118333
147918	147918
177503	177503
207081	207081
236666	236666
266244	266244
295829	295829
325407	325407
354992	354992
384570	384570
414148	414148
443733	443733
473318	473318
502896	502896
532481	532481
562066	562066
591651	591651
621229	621229
650807	650807
680392	680392
709977	709977
739562	739562
769147	769147
798725	798725
828303	828303
857888	857888
887466	887466
917051	917051
946629	946629
976214	976214
1.00579e+06	1.00579e+06
1.03538e+06	1.03538e+06
1.06496e+06	1.06496e+06
1.09455e+06	1.09455e+06
1.12413e+06	1.12413e+06
1.15371e+06	1.15371e+06
1.1833e+06	1.1833e+06
1.21288e+06	1.21288e+06
1.24246e+06	1.24246e+06
1.27204e+06	1.27204e+06
1.30162e+06	1.30162e+06
1.33121e+06	1.33121e+06
1.36078e+06	1.36078e+06
1.39036e+06	1.39036e+06
1.41995e+06	1.41995e+06
1.44952e+06	1.44952e+06
1.47911e+06	1.47911e+06
1.5087e+06	1.5087e+06
1.53828e+06	1.53828e+06
1.56786e+06	1.56786e+06
1.59744e+06	1.59744e+06
1.62702e+06	1.62702e+06
1.6566e+06	1.6566e+06
1.68618e+06	1.68618e+06
1.71576e+06	1.71576e+06
1.74534e+06	1.74534e+06
1.77492e+06	1.77492e+06
1.8045e+06	1.8045e+06
1.83408e+06	1.83408e+06
1.86366e+06	1.86366e+06
1.89324e+06	1.89324e+06
1.92283e+06	1.92283e+06
1.95241e+06	1.95241e+06
1.98198e+06	1.98198e+06
2.01156e+06	2.01156e+06
2.04115e+06	2.04115e+06
2.07073e+06	2.07073e+06
2.10031e+06	2.10031e+06
2.12989e+06	2.12989e+06
2.15947e+06	2.15947e+06
2.18905e+06	2.18905e+06
2.21863e+06	2.21863e+06
2.24821e+06	2.24821e+06
2.27779e+06	2.27779e+06
2.30737e+06	2.30737e+06
2.33695e+06	2.33695e+06
2.36653e+06	2.36653e+06
2.39612e+06	2.39612e+06
2.4257e+06	2.4257e+06
2.45528e+06	2.45528e+06
2.48486e+06	2.48486e+06
2.51444e+06	2.51444e+06
2.54402e+06	2.54402e+06
2.57361e+06	2.57361e+06
2.60319e+06	2.60319e+06
2.63276e+06	2.63276e+06
2.66235e+06	2.66235e+06
